,message,SpamHam
0,Wisconsin voter turnout jumped from 67% in 2016 to 89% in 2020.,ham
1,The number of coronavirus deaths is “almost nothing.”,ham
2,“Joe Biden wants to raise taxes on 82% of all Americans.”,spam
3,"“8% of the votes cast” in Michigan’s Aug. 4 primary, 864 mailed ballots, came from dead voters. “NOTHING TO SEE HERE!!!”",spam
4,"""Marquette University threatened to rescind student’s admission over pro-Trump TikTok video.""",spam
5,Says Osama bin Laden endorsed Joe Biden,spam
6,"""It’s only a federal crime for the"" inspector general to out a whistleblower.",spam
7,"""Tens of thousands"" of people leave New York every week.",spam
8,"""Nearly 200,000 Florida voters may not be citizens.""",spam
9,"""You see the Nazi platform from the early 1930s ... look at it compared to the (Democratic Party) platform of today, you\'re saying, \'Man, those things are awfully similar.\'""",spam
10,"Unemployment numbers ""are artificial numbers. These are numbers that are massaged to make the existing economy look good, to make this administration look good when, in fact, it\'s a total disaster.""",spam
11,"Says Hillary Clinton is proposing ""destroying Medicare for seniors.""",spam
